voltaje;corriente
411;13
420;18
439;23
447;29
456;38
465;48
473;59
481;74
489;91
496;108
503;428
509;153
516;179
522;210
529;244
534;280
546;319
556;364
554;501
561;568
565;618
568;675
573;733
576;795
579;856
583;918
586;982
589;1045
592;1109
594;1177
597;1244
599;1310
602;1379
604;1449
606;1516
619;1589
611;1662
612;1731
614;1806
616;1882
618;1858
620;2046
623;2109
625;2259
629;2336
628;2416
630;2497
630;2577
631;2653
633;2727
635;2805
636;2880
637;2963
638;3044
639;3126
641;3206
642;3284
643;3363
644;3444
645;3528
646;3609
647;3690
648;3769
649;3847
650;3927
651;4010
652;4090
653;4255
654;4336
655;4417
656;4503
657;4587
658;4668
659;4748
659;4829
661;4919
661;5003
662;5090
662;5177
663;5260
664;5343
664;5421
666;5511
666;5601
667;5960
667;5779
668;5865
