voltaje;corriente;voltaje 1;corriente 1;voltaje 2;corriente 2
400;2;351;2;351;2
446;38;400;10;400;10
496;129;448;39;446;39
528;275;482;91;489;111
550;438;523;244;523;245
565;667;555;492;550;447
586;943;570;686;570;689
598;1235;587;970;585;968
609;1542;600;1273;600;1272
618;1871;611;1592;610;1592
626;2208;620;1935;620;1934
632;2473;628;2285;628;2286
639;2891;633;2633;635;2633
645;3242;641;2998;641;3000
649;3529;646;3363;647;3364
654;3946;651;3727;651;3728
658;4300;656;4100;656;4103
662;4671;660;4471;660;4474
666;5051;664;4859;664;4861
669;5423;668;5256;668;5257
672;5804;671;5645;671;5646
;;673;6043;674;6044
